	VOICE			;1	カーソル移動音
	VOICE			;2	コマンド決定音
	VOICE		;3	コマンドキャンセル音
	VOICE				;4	ポーズ音
	VOICE			;5	アイテム・クリスタル獲得音
	VOICE	MUON_J1			;6	
	VOICE			;7	ボンバーマンアウト音
	VOICE				;8	ボム設置音
	VOICE			;9	ボム爆発音
	VOICE			;10	ボムを蹴る音
	VOICE			;11	ボムが跳ねる音
	VOICE				;12	プレイヤー１UP音
	VOICE			;13	ライバル消える音
	VOICE			;14	プレイヤー歩き音
	VOICE				;15	ハリーアップの音
	VOICE				;16	時間切れ音
	VOICE	MUON_J2			;17
	VOICE			;18	ボムを投げる音
	VOICE	MUON_J3			;19
	VOICE	MUON_J4			;20
	VOICE				;21	スイッチ切り替わり
	VOICE			;22	次エリア扉開き音
	VOICE			;23	ボンバーマンジャンプ音（小）
	VOICE			;24	ボンバーマンパンチ音
	VOICE	MUON_10F		;25	無音効果音
	VOICE			;26	爆弾爆発音（中）
	VOICE			;27	爆弾爆発音（小）
	VOICE				;28	ボス爆発（Left）
	VOICE				;29	ボス爆発（Center）
	VOICE				;30	ボス爆発（Right）
	VOICE			;31	ボス最後の大爆発
	VOICE			;32	プレッシャーブロック
	VOICE				;33	スタート
	VOICE	MUON_J5			;34
	VOICE				;35	しまった！
	VOICE				;36	やっほー！
	VOICE				;37	おっとっと！
	VOICE				;38	ファイヤー
	VOICE				;39	ボムアップ
	VOICE			;40	その他のアイテム取得音
	VOICE	MUON_J6			;41
	VOICE				;42	ゲームオーバー
	VOICE	MUON_J7			;43
	VOICE	MUON_J8			;44
	VOICE				;45	アーッ
	VOICE				;46	いてっ！
	VOICE				;47	うわっ！
	VOICE				;48	アーマーいただき
	VOICE		;49	ステージ選択、クリスタル表示音
	VOICE			;50	クリスタル回転音
	VOICE	studio_c12		;リバーブ設定
	VOICE	studio_c120		;リバーブ設定 TEST用
;;	VOICE	rev_off			;リバーブ設定（注意、一度呼ぶと２度とかからない）
	VOICE	SHIP_L			;コンティニュー用ボンバーシップ(L)
	VOICE	SHIP_R			;コンティニュー用ボンバーシップ(R)
	VOICE	SHISO			;バトル用シーソー音
	VOICE	SHIP2			;ステージ選択画面用ボンバーシップ
